,client_name,project_name,Category,bid_classification,bid_type,bid_ID,awarded_date,awarded_year,company_name
0,Brant County,"1 (One) 1 Ton Heavy Duty 4Wd, Cab And Chassis Truck, Standard Cab",Producer/Supplier,Goods,RFQ,OPS-RFQ-20-07,2021-03-26 0:00,2020,Finch Auto GroupGORD ANDERSON AUTOMOTIVE GROUP INC Oxford Dodge Chrysler (1992) LTD  RELIABLE MOTORS (1992) LIMITED      Winegard Motors Limited
1,Brant County,1 (One) Seven (7) Passenger Mini-Van,Producer/Supplier,Goods,RFQ,OPS-RFQ-20-04,2021-03-26 0:00,2020,Oxford Dodge Chrysler (1992) LTD
2,Brant County,1 (One) Seven (7) Passenger Van / Wagon,Producer/Supplier,Goods,RFQ,OPS-RFQ-20-10,2021-03-26 0:00,2020,East Court Ford LincolnOxford Dodge Chrysler (1992) LTD
3,Brant County,1 (One) ½ Ton 8 Cyl Standard Cab 2Wd Pickup Truck,Producer/Supplier,Goods,RFQ,OPS-RFQ-20-08,2021-03-26 0:00,2020,Finch Auto GroupGORD ANDERSON AUTOMOTIVE GROUP INC Mohawk Ford Sales (1996) Limited Oxford Dodge Chrysler (1992) LTD      Winegard Motors Limited
4,Brant County,1 (One) ¾ Ton 4Wd Standard Cab Pickup Truck,Producer/Supplier,Goods,RFQ,OPS-RFQ-20-09,2021-03-26 0:00,2020,East Court Ford Lincoln         Finch Auto GroupGORD ANDERSON AUTOMOTIVE GROUP INC Mohawk Ford Sales (1996) Limited  RELIABLE MOTORS (1992) LIMITED      Winegard Motors Limited
5,Brant County,1 (One) ¾ Ton 4Wd Standard Cab Pickup Truck,Producer/Supplier,Goods,RFQ,PW-RFQ-20-06,2021-03-26 0:00,2020,East Court Ford Lincoln         Finch Auto GroupGORD ANDERSON AUTOMOTIVE GROUP INC Mohawk Ford Sales (1996) Limited Oxford Dodge Chrysler (1992) LTD      Winegard Motors Limited
6,Brant County,2 (Two) ¾ Ton 2Wd Cargo Style Vans,Producer/Supplier,Goods,RFQ,OPS-RFQ-20-05,2021-03-26 0:00,2020,Mohawk Ford Sales (1996) LimitedOxford Dodge Chrysler (1992) LTD
7,Brant County,2 Willow Street - Left Turn Lane,Construction - Civil,Construction,Tender,PW-RFT-19-07,2021-07-24 0:00,2019,Vista Contracting Ltd  Capital Paving Inc
8,Brant County,2018 Detailed Condition Surveys,,Services,RFQ,PW-RFQ-18-10,2021-11-05 0:00,2018,Bridge Check Canada Ltd.   Peto MacCallum Ltd.Orbit Engineering LimitedHaghbin & Associates Ltd.
9,Brant County,2019 Poplar Hills Playground,,Construction,RFP,COM-RFP-19-02,2021-05-08 0:00,2019,Henderson Recreation Equipment Limited        Kay Scott Holdings Inc.       PlayPower LT Canada Inc.       Openspace Solutions Inc.
10,Brant County,2020 Tree Maintenance/Removal Service Requirements,,Services,RFQ,CPS-RFQ-20-11,2021-03-26 0:00,2020,"Ontario Line Clearing & Tree Experts Inc.     Davey Tree Expert Co. of Canada, Limited              Arborwood Tree Services                2008949 Ontario Ltd   1877980 Ontario Inc. o/a Kodiak Tree Services              Stys Tree Service Inc.Tree Tech, Tree and Property Maintenance Specia...            Wildwood Tree Services Ltd."
11,Brant County,2020 Tree Maintenance/Removal Service Requirements,,Services,RFQ,OPS-RFQ-20-21,2021-08-05 0:00,2020,"Asplundh Canada ULCTree Tech, Tree and Property Maintenance Specia...     Davey Tree Expert Co. of Canada, Limited   1877980 Ontario Inc. o/a Kodiak Tree Services     Ontario Line Clearing & Tree Experts Inc.              Stys Tree Service Inc."
12,Brant County,Airport Drinking Water Distribution System Watermain Replacements Contract 1,,Construction,Tender,PW-RFT-19-05,2021-07-25 0:00,2019,E. & E. Seegmiller Limited   Gedco Excavating Ltd. Navacon Construction Inc.
13,Brant County,Airport Elevated Water Storage Tank,,Construction,Tender,PW-RFT-18-18,2021-11-21 0:00,2018,Landmark Structures Co / Landmark Municipal Ser...
14,Brant County,Alexander Street Reconstruction,,Construction,Tender,PW-RFT-18-01,2021-03-27 0:00,2018,Nabolsy Contracting Inc.     Gedco Excavating Ltd.     Vista Contracting Ltd      Euro Ex ConstructionNetwork Sewer and Watermain Ltd       Elgin Construction   Navacon Construction Inc.    Steed and Evans Limited    Oxford Civil Group Inc.
15,Brant County,"Architectural And Space Planning For The County Of Brant Municipal Office Located At 26 Park Avenue, Burford, Ontario",,Services,RFP,COR-RFP-18-02,2021-03-04 0:00,2019,Bennett Design Associates Inc.        FABRIK Architects Inc.     Freeman + Freeman Design Inc.The Ventin Group Ltd. (+VG Architects)             X-Design Inc.              KNYMH Inc.              Mayhew Inc       Strasman Architects Inc.
16,Brant County,Architectural/Engineering Services For Brant County Health Hub,,Services,RFP,COR-RFP-18-02,2021-04-02 0:00,2019,"Salter Pilon Architecture Inc.      C& Partners Architects Inc          Edge Architects LtdThe Ventin Group Ltd. (+VG Architects)           AECOM Canada Ltd.Architects + Research + Knowledge Inc.   HDR Architecture Associates, Inc.  J.L. Richards & Associates Limited       John MacDonald Architect              KNYMH Inc.     Thomas Brown Architects Inc.   TCA/Thier + Curran Architects Inc              WalterFedy"
17,Brant County,"Ayr And Drumbo Roads, Hot Mix Resurfacing",,Construction,Tender,OPS-RFT-20-10,2021-06-03 0:00,2020,Brantco Construction          Coco Paving Inc        Capital Paving Inc      Steed and Evans LimitedAssociated Paving & Materials LTd.
18,Brant County,"Ayr Road, Asphalt Recycling (Cir Or Ciream)",,Construction,Tender,OPS-RFT-20-09,2021-06-03 0:00,2020,Coco Paving Inc    Roto-Mill IncMiller Paving Limited
19,Brant County,Baseball Diamond Fencing For The South Dumfries Community Centre And The Burford Community Centre,,Goods,RFQ,COM-RFQ-18-07,2021-03-05 0:00,2018,Royal Fence LimitedFrontier Fencing and Decks Inc        Bond Fence Ltd.
20,Brant County,Brant Business Park Sidewalk,,Construction,Tender,OPS-RFT-20-08,2021-04-30 0:00,2020,39 Seven Inc.       chad hartman construction  Autoform Contracting London Limited         Fortese Concrete Ltd      All The Best Paving Limited R. L. Lancaster Construction Limited          DPA Contracting Ltd           Coco Paving Inc.         Vista Contracting Ltd    Ashland Construction Group Ltd.    Hardscape Concrete & Interlock       Falcon Road Services Inc.        Onsite Contracting IncJB Construction Management Corporation          Margis Construction     Neptune Security Services Inc             Emmacon Corp.
21,Brant County,Brant Community Health Hub,,Construction,Tender,COR-RFT-20-01,2021-06-17 0:00,2020,H.I.R.A. LTD.      Harbridge & Cross Limited  Ira McDonald Construction LimitedJ.J. McGuire General Contractors Inc.   Melloul-Blamey Construction Inc.           Norlon Builders     Vicano Construction Limited
22,Brant County,Burt Road Bridge Removal,,Construction,RFQ,PW-RFQ-18-01,2021-07-06 0:00,2018,Coco Paving Inc.   Dufferin Construction Company     Schouten Excavating Inc.  Robert M Simon Construction Ltd        Sierra Bridge Inc.  Hardscape Concrete & Interlock     JARLIAN CONSTRUCTION INC.     Xterra Construction Inc.Deer Landltd Equipment Leasing Inc
23,Brant County,"Cleaning Of Storm Sewer Catch Basins, Ditch Inlets And Storm Pipes",,Services,RFQ,OPS-RFQ-20-15,2021-06-17 0:00,2020,Nieltech Services Ltd.          Accuworx Inc.Clean Shot Environmental Services           Wessuc Inc.       B. Edwards Transfer
24,Brant County,Communication Tower,,Construction,Tender,BNT-RFT-202001,2021-11-24 0:00,2020,Broadband Tower Services    FIVE9 SOLUTIONS INC  High tech communications  Rigarus Construction IncWestower Communications Ltd
25,Brant County,Concrete Sidewalk And Curb & Gutter Replacement,,Services,RFQ,OPS-RFQ-20-17,2021-07-13 0:00,2020,R. L. Lancaster Construction Limited    Neptune Security Services Inc      chad hartman construction       Onsite Contracting Inc      Falcon Road Services Inc.        Vista Contracting Ltd
26,Brant County,Consultant Services For Airport Distribution System Watermain Replacements,,Services,RFP,PW-RFP-18-01,2021-03-27 0:00,2018,First Nations Engineering Services Ltd        Development Engineering    GM BluePlan Engineering Limited       G. Douglas Vallee Limited             Parsons Inc.
27,Brant County,Consultant Services For The Fire Master Plan,,Services,RFP,FIR-RFP-19-02,2021-11-07 0:00,2019,Dillon Consulting LimitedEmergency Management & Training Inc.
28,Brant County,County Of Brant Opp Detachment,,Construction,Tender,COR-RFT-18-01,2021-11-28 0:00,2018,Collaborative Structures Limited Magil Construction Ontario Inc.    JASPER CONSTRUCTION CORP.Melloul-Blamey Construction Inc.    Harbridge & Cross Limited JR Certus Construction Co. Ltd.    PRE-ENG CONTRACTING LTD.  Aquicon Construction Co. Ltd.
29,Brant County,Curtis Avenue North Reconstruction,,Construction,Tender,OPS-RFT-20-06,2021-06-17 0:00,2020,Euro Ex Construction      Sierra Infrastructure Inc      Navacon Construction Inc.Morley's Contracting (Brantford) Ltd.        Gedco Excavating Ltd.      E. & E. Seegmiller Limited
