,project_name,bid_classification,bid_type,Category
0,General Contractors And Subcontractors For Sensitive Habitat Restoration Works,Services,Request for Pre-Qualification(RFPQ),Construction -Civil
9,"Supply And Delivery Of As-Required Spill Response Services, Equipment, Personnel And Restoration",Services,Request for Tender(RFT),Supplier/Provider Request
13,"Prequalification Of Consultants For The Feasibility Study, Detailed Design, Contract Administration And Site Inspection Services For The Tuclor Lane Sanitary Trunk Sewer Rehabilitation",Services,Request for Pre-Qualification(RFPQ),
20,Detailed Design And Engineering Services For 16Th Avenue From Leslie Street To Woodbine Avenue,Services,Request for Proposal(RFP),
25,Waste Electrical And Electronic Equipment (Weee) Haulage And Processing,Services,Request for Tender(RFT),
29,Construction Administration And Inspection Services For Keele Street (Y.R. 6) From Steeles Avenue West To Highway 407 Improvements,Services,Request for Proposal(RFP),
31,"Medical Office Retrofit - 20849 Dalton Road, Sutton, Georgina",Construction,Request for Tender(RFT),
36,General Contracting Repairs At York Region Transit Facilities,Services,Request for Tender(RFT),
48,Adobe Subscriptions And Software Licenses,Goods,Request for Tender(RFT),
53,"Balcony Repairs And Railing Replacements At Maplewood Place, 71 Dunlop Street, City Of Richmond Hill",Construction,Request for Tender(RFT),
86,"General Contractor For Reconstruction And Widening Of Rutherford Road (Y.R. 73) From 85M East Of Highway 400 To Westburne Drive, City Of Vaughan",Construction,Request for Pre-Qualification(RFPQ),
100,"Feasibility Study Regarding The Functional Route Alignment Of The South York Greenway Cycling, Pedestrian And Micro-Mobility Corridor",Services,Request for Proposal(RFP),
104,Supply And Delivery Of Provincial Offences Court Notices,Services,Request for Proposal(RFP),
108,"Ydss Rehab Phase One - Construction Of Access Roads And Rehabilitation Of The Boundary Meter Chamber (Bmc) At Various Locations In The City Of Markham, City Of Toronto And City Of Pickering",Construction,Request for Tender(RFT),
114,Check Point Firewall Maintenance And Support,Services,Request for Tender(RFT),
118,Symantec Endpoint Protection Maintenance & Support,Services,Request for Tender(RFT),
126,Notice Of Intent To Award A Contract - Bell,Services,Request for Proposal(RFP),
127,Notice Of Intent To Award A Contract - Telus,Services,Request for Proposal(RFP),
128,Notice Of Intent To Award A Contract  -  Rogers,Services,Request for Proposal(RFP),
129,Class Environmental Assessment Studies Warden Ave. (Y.R.65) And Kennedy Rd. (Y.R.3) From Major Mackenzie Dr. (Y.R. 25) To Eglin Mills Rd. City Of Markham,Services,Request for Pre-Qualification(RFPQ),
138,Prequalification Of Consultants For The Provision Of Consulting Services For The Richmond Hill Collector Sewer Municipal Class Environmental Assessment And Preliminary Design,Services,Request for Pre-Qualification(RFPQ),
140,"Collection, Transport And Disposal Of Bio Hazardous Waste For The Community And Health Services Department, Public Health Branch",Services,Request for Proposal(RFP),
143,Detailed Design And Engineering Services For Dufferin Street (Y.R.53) From Major Mackenzie Drive (Y.R.25) To Teston Road (Y.R. 49),Services,Request for Proposal(RFP),
146,"Hvac Upgrades At The York Region Administrative Centre Located At 17250 Yonge Street, Newmarket, Ontario",Construction,Request for Tender(RFT),
150,"Contract Administration, Site Inspection And Engineering Services For The Georgina Water Treatment Plant Piping Modifications And Chemical Containment Rehabilitation",Services,Request for Proposal(RFP),
153,"Drilling, Construction And Testing Of Large Diameter Test Well – Ballantrae Mw17 And Decommissioning Of Newmarket Production Well No.14 - 15456 Highway 48, Town Of Whitchurch-Stouffville",Construction,Request for Tender(RFT),
156,Request For Information For Career Transition Services,Services,Request for Information (RFI),
166,Design And Build Underground Conduit And Fibre Optic Cable Network At Various Locations In The Town Of Georgina,Services,Request for Tender(RFT),
180,"Construction Of A New Elevator And 2Nd Floor Aoda Washroom At 145 Harry Walker Parkway, Town Of Newmarket, Ontario",Construction,Request for Tender(RFT),
200,General Contractors For The Duffin Creek Wpcp Phosphorus Reduction Action Plan Implementation,Construction,Request for Pre-Qualification(RFPQ),
208,Hpe Storage Products And Services,Services,Request for Tender(RFT),
210,Provision Of Hardware Solution For Video Conferencing,Goods,Request for Information (RFI),
214,"Interior Lighting Retrofit Of Fluorescent Lamps With Led Lamps At 55 Orlando Avenue, City Of Richmond Hill",Construction,Request for Tender(RFT),
218,"Construction Of The Northern Extension Of  Eastern Underpass And Elevator Pavilion At The North Side Of Major Mackenzie Drive  Between Highway 400 And Jane Street In The City Of Vaughan, Ontario",Construction,Request for Tender(RFT),
222,"Prequalification Of General Contractor And Mechanical, Electrical, Microtunneling And Civil Linear Subcontractors For Henderson Sewage Pumping Station",Construction,Request for Pre-Qualification(RFPQ),
276,Pre-Qualification Of General Contractor For Inspection Of York Region'S Gravity Sewers,Services,Request for Pre-Qualification(RFPQ),
284,Supply And Delivery Of Water-Borne Traffic Paint For Pavement Markings For York Region,Goods,Request for Tender(RFT),
286,Enhanced Computer Aided Dispatch / Automated Vehicle Location (Cad/Avl) Solution For Roads Operations,Goods,Request for Information (RFI),
299,Groundwater Treatment Strategy- Preliminary Design For Iron And Manganese Removal,Services,Request for Proposal(RFP),
303,Supply & Delivery Of Six (6) Dump Trucks For Transportation Services,Goods,Request for Tender(RFT),
307,General Contractors For The 2020-2022 York Region Production Wells- Well Pump Maintenance And Well Rehabilitation Program,Construction,Request for Pre-Qualification(RFPQ),
309,Construction Of 155M Of Gravel Entrance Laneway And 3250M² Of A Parking Lot With Catch Basin In The Hollidge Tract Of The York Regional Forest At 16389 Hwy 48 In The Town Of Whitchurch-Stouffville,Construction,Request for Tender(RFT),
322,"Construction Contract Administration For Rutherford Road From Westburne Drive To Peter Rupert Ave., City Of Vaughan",Services,Request for Pre-Qualification(RFPQ),
330,"Design, Construction Administration And Site Inspection For The Markham Pd5 Reservoir Rehabilitation",Services,Request for Proposal(RFP),
334,Supply Of Vaults For Yorknet,Services,Request for Tender(RFT),
340,"Site Preparation, Excavation, Grading, Asphalt Paving, Curb And Gutter, Storm Sewer, Drainage, Illumination, Landscaping, Bridge Widening And Traffic Signals On Major Mackenzie Drive (Y.R. 25) From Highway 400 To Jane Street In The City Of Vaughan",Construction,Request for Tender(RFT),
347,"Construction Contract Administration And Inspection Services For Rutherford Road From 85M East Of Highway 400 To Westburne Drive, City Of Vaughan",Services,Request for Pre-Qualification(RFPQ),
358,"Installation Of Aerial, Buried And Underwater Fibre Optic Cable Crossing Lake Simcoe To Georgina Island In The Town Of Georgina",Construction,Request for Tender(RFT),
363,"Concrete And Asphalt Rehabilitation At The Pioneer Village Terminal Roadway And Platform 50 Settler Road, Vaughan",Construction,Request for Tender(RFT),
369,Sidewalk Construction And Sidewalk Illumination On Bathurst Street (Y.R. 38) From Shaftsbury Avenue To Gamble Road In The City Of Richmond Hill,Construction,Request for Tender(RFT),
378,Terraseeding Services,Services,Request for Tender(RFT),
380,Oil-Grit Separator Structure Inspection And Assessment Services At Various Locations Within The Regional Municipality Of York,Services,Request for Tender(RFT),
383,Retaining Wall Replacement And Site Restoration On Wellington Street (Y.R. 15) At Mcdonald Drive In The Town Of Aurora,Construction,Request for Tender(RFT),
393,Service Provider For Employee Wellness And Recognition Programs,Services,Request for Information (RFI),
400,Oil-Grit Separator Structure Cleaning Including The Disposal Of Collected Liquid And Solid Material At Various Locations In The Regional Municipality Of York,Services,Request for Tender(RFT),
405,Detailed Design And Engineering Services For Ninth Line (Y.R. 69) From Steeles Avenue (Y.R. 95) To Fieldside Street,Services,Request for Proposal(RFP),
409,"Culvert Rehabilitation On King Road (Y.R. 11), 400 M East Of 8Th Concession In The Township Of King",Construction,Request for Tender(RFT),
416,Design & Contract Admin For The Aurora Yonge Street Feedermain Replacement,Services,Request for Proposal(RFP),
424,"Winter Road Maintenance Snow Removal, Hauling And Disposal Within Southeast Patrol District In The Regional Municipality Of York",Services,Request for Tender(RFT),
426,"Winter Road Maintenance Snow Removal, Hauling And Disposal Within Southwest Patrol District In The Regional Municipality Of York",Services,Request for Tender(RFT),
428,Installation Of Permanent Traffic Control Signals On Leslie Street (Y.R.12) At Toporowski Avenue/Private Entrance In The City Of Richmond Hill,Construction,Request for Tender(RFT),
