client_name,project_name,bid_classification,bid_type,bid_ID,awarded_date,awarded_year,company_name,submitted_price,winning_status
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Aquicon Construction Co. Ltd.,,1
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,BDA Inc.,,1
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Chandos Construction Ltd. (Toronto),,1
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Defaveri Group Contracting Inc,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Elite Construction,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,M.J. Dixon Construction Limited,,1
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Magil Construction Canada Inc.,,1
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Niacon Ltd.,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,PAC Building Group,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,RossClair Contractors Inc.,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Royalty General Construction Ltd.,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Steelcore Construction Ltd.,,1
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Stracor Inc.,,0
Halton Region,HALTON REGIONAL CENTRE (HRC) WEST BLOCK INTERIOR MODERNIZATION,Construction,RFPQ,T-600A-22,Feb 18,2022,Struct-Con Construction Ltd.,,0
